expense_id,expense_date,department,cost_center,vendor,expense_category,payment_type,amount,budget_monthly,approved_by,reimbursable,receipt_attached,project_code,status
EX00073,2025-01-01,Engineering,CC-ENG-88,Notion,Cloud Services,Corporate Card,4900.8,20000,Head of Engineering,FALSE,TRUE,PRJ-203,Approved
EX00032,2025-01-01,Engineering,CC-ENG-85,NOTION,Software,Corporate Card,10462.58,20000,VP Sales,FALSE,FALSE,PRJ-203,Pending
EX00144,2025-01-02,Engineering,CC-ENG-12,Atlassian,Hardware,Corporate Card,611.18,20000,COO,FALSE,FALSE,PRJ-101,Approved
EX00174,2025-01-04,Marketing,CC-MAR-67,Uber,Travel,Reimbursement,39.83,17000,VP Marketing,FALSE,TRUE,PRJ-620,Approved
EX00218,01/06/2025,Sales,CC-SAL-80,AWS,Software,Corporate Card,2151.89,15000,VP Sales,FALSE,TRUE,PRJ-740,Approved
EX00075,2025-01-07,Sales,CC-SAL-68,Adobe,Recruiting,ACH,1980.81,15000,VP Marketing,FALSE,TRUE,PRJ-512,Approved
EX00006,2025-01-10,Engineering,CC-ENG-17,Concur,Contractors,Corporate Card,1258.03,20000,Head of Engineering,FALSE,TRUE,PRJ-512,Approved
EX00034,2025-01-12,Engineering,CC-ENG-37,Concur,Events,Corporate Card,4100.03,20000,Head of Engineering,FALSE,TRUE,PRJ-203,Approved
EX00025,2025-01-13,Engineering,CC-ENG-32,Slack,Software,Reimbursement,1203.23,20000,Finance Manager,TRUE,TRUE,PRJ-740,Approved
EX00028,2025-01-16,Engineering,CC-ENG-17,Salesforce,Contractors,Corporate Card,2298.43,20000,COO,FALSE,FALSE,PRJ-310,Approved
EX00146,2025-01-16,Finance,CC-FIN-68,Salesforce,Recruiting,ACH,519.73,7000,VP Marketing,FALSE,FALSE,PRJ-415,Approved
EX00086,2025-01-18,Marketing,CC-MAR-91,ATLASSIAN,Software,ACH,1454.63,17000,Finance Manager,FALSE,FALSE,PRJ-512,Pending
EX00050,2025-01-20,Support,CC-SUP-88,Zoom,Software,ACH,287.11,11000,VP Sales,FALSE,FALSE,PRJ-415,Pending
EX00039,2025-01-20,Engineering,CC-ENG-23,AWS,Hardware,Corporate Card,697.03,20000,CFO,FALSE,FALSE,PRJ-415,Pending
EX00126,2025-01-20,IT,CC-IT-27,Salesforce,Office Supplies,ACH,2781.62,9000,CFO,TRUE,FALSE,PRJ-620,Approved
EX00106,2025-01-20,Finance,CC-FIN-26,Adobe,Travel,Reimbursement,1762.14,7000,VP Sales,TRUE,TRUE,PRJ-512,Approved
EX00004,2025-01-21,Sales,CC-SAL-38,AWS,Software,Corporate Card,4112.91,15000,COO,TRUE,TRUE,PRJ-740,Pending
EX00101,2025-01-22,Marketing,CC-MAR-63,Slack Inc,Cloud Services,Wire Transfer,1643.68,17000,CFO,FALSE,FALSE,PRJ-101,Approved
EX00024,2025-01-23,Sales,CC-SAL-19,Uber,Travel,ACH,476.33,15000,VP Marketing,FALSE,FALSE,PRJ-101,Approved
EX00157,2025-01-24,Sales,CC-SAL-45,Workday,Travel,Corporate Card,2320.18,15000,COO,FALSE,FALSE,PRJ-740,Pending
EX00114,2025-01-26,Engineering,CC-ENG-95,Salesforce,Cloud Services,Corporate Card,-4646.63,20000,Finance Manager,FALSE,FALSE,PRJ-415,Pending
EX00220,2025-01-26,Engineering,CC-ENG-94,Google Cloud,Software,Corporate Card,4428.6,20000,CFO,FALSE,TRUE,PRJ-415,Pending
EX00071,2025-01-26,Finance,CC-FIN-26,slack,Software,ACH,1702.97,7000,Finance Manager,FALSE,TRUE,PRJ-101,Approved
EX00084,2025-01-29,Engineering,CC-ENG-28,atlassian,Travel,Corporate Card,1564.59,20000,VP Marketing,TRUE,TRUE,PRJ-101,Approved
