employee_id,department,role,location,work_mode,employment_type,hire_date,termination_date,salary,bonus_pct,performance_rating,manager_id,status
E2155,Finance,Payroll Specialist,Remote,Remote,Intern,2018-01-03,,83423,0.1,1,E2014,Active
E2152,Engineering,Data Engineer,Austin,Remote,Full-time,2018-01-19,,145493,0.08,4,E2029,Active
E2051,Support,Support Lead,Austin,Hybrid,Full-time,2018-02-12,,44543,0.15,3,E2011,Active
E2176,Sales,Sales Manager,Austin,Remote,Full-time,2018-04-04,,113459,0.08,5,,Active
E2010,Marketing,Growth Manager,New York,Hybrid,Full-time,2018-04-20,2023-04-19,105144,0.15,3,,Terminated
E2086,Engineering,Data Engineer,New York,Hybrid,Full-time,2018-05-25,,107226,0.09,3,E2010,Active
E2148,Engineering,Engineering Manager,San Francisco,Remote,Full-time,2018-07-05,,188879,0.14,3,E2029,Active
E2154,Sales,Account Executive,Remote,Hybrid,Full-time,2018-08-11,,73242,0.17,4,E2025,Active
E2159,Sales,Sales Manager,Singapore,Hybrid,Full-time,2018-08-16,,115573,0.13,3,E2023,Leave of Absence
E2151,Support,Support Agent,New York,On-site,Contractor,2018-09-10,2023-07-09,54877,0.13,4,E2025,Terminated
E2003,Sales,Sales Development Rep,Singapore,Remote,Full-time,2018-10-04,2022-10-14,73934,0.24,3,,Terminated
E2120,Finance,Finance Manager,Austin,Remote,Full-time,2018-10-24,,117782,0.12,1,E2008,Active
E2070,Support,Support Lead,Austin,Remote,Full-time,2018-10-26,,73429,0.12,4,E2007,Active
E2128,Sales,Account Executive,Austin,Hybrid,Full-time,2018-11-26,,86875,0.08,3,E2020,Active
E2018,Marketing,Marketing Analyst,New York,Hybrid,Contractor,2018-11-29,,59108,0.06,3,,Active
E2054,Sales,Solutions Consultant,New York,Remote,Full-time,2018-12-16,,73858,0.02,3,E2022,Active
E2132,Sales,Sales Development Rep,London,Remote,Full-time,2019-01-17,,93716,0.18,5,E2015,Active
E2136,Engineering,Software Engineer,San Francisco,Remote,Full-time,2019-01-31,,129669,0.1,2,E2019,Active
E2060,Engineering,Software Engineer,San Francisco,Hybrid,Intern,2019-03-08,,104471,0.12,4,E2017,Active
E2180,Sales,Sales Development Rep,Singapore,Remote,Full-time,2019-03-12,,61235,,4,E2020,Active
E2138,Marketing,Growth Manager,Berlin,Hybrid,Full-time,2019-03-26,,92217,0.08,3,E2023,Active
E2161,Support,Support Agent,London,Remote,Full-time,2019-05-14,,48735,0.0,3,E2015,Active
E2036,Operations,Operations Analyst,London,Remote,Full-time,2019-06-06,,74064,0.03,3,E2017,Active
E2100,Operations,Operations Analyst,Singapore,Hybrid,Full-time,2019-06-15,,86556,0.16,5,E2016,Active
E2023,Engineering,QA Engineer,New York,Hybrid,Full-time,2019-06-24,,114674,0.08,4,,Active
E2011,Engineering,Software Engineer,San Francisco,On-site,Full-time,2019-06-29,,104556,0.19,4,,Active
E2008,Engineering,QA Engineer,Remote,Remote,Full-time,2019-06-30,,87711,0.01,4,,Active
E2177,Sales,Sales Development Rep,Singapore,Remote,Full-time,2019-07-14,,87238,0.12,3,E2025,Active
E2042,Support,Technical Support,Remote,Remote,Contractor,2019-07-14,,52321,0.17,3,E2024,Active
E2098,Sales,Sales Development Rep,San Francisco,Remote,Intern,2019-07-22,,99815,0.2,2,E2007,Active
E2059,Marketing,Growth Manager,San Francisco,Remote,Full-time,2019-08-07,,105491,0.12,4,E2010,Active
E2021,Engineering,Data Engineer,San Francisco,On-site,Full-time,2019-08-15,,104019,0.12,5,,Active
E2027,Sales,Sales Development Rep,San Francisco,On-site,Full-time,2019-09-11,,69139,0.09,3,,Active
E2110,Sales,Account Executive,Remote,Remote,Full-time,2019-10-30,,80815,0.13,1,E2022,Active
E2103,Operations,Ops Manager,London,On-site,Full-time,2019-11-12,,94259,0.03,4,E2026,Active
E2112,Engineering,Data Engineer,Remote,Remote,Full-time,2019-11-12,,93457,0.05,3,E2020,Active
E2170,Marketing,Content Strategist,Singapore,Hybrid,Full-time,2019-12-16,,57037,0.11,3,E2026,Active
E2039,Sales,Account Executive,Singapore,Remote,Full-time,2019-12-18,,81497,0.14,5,E2018,Active
E2107,Support,Support Agent,Remote,Hybrid,Full-time,2019-12-30,,62132,0.08,4,E2003,Active
E2013,Engineering,QA Engineer,Austin,Hybrid,Full-time,2020-01-13,,136783,0.08,3,,Active
