ticket_id,created_at,first_response_hours,resolved_at,category,subcategory,priority,channel,team,agent,customer_tier,status,csat_score,reopened,sla_breached
TK00001,2025/1/2,7.8,2025/1/3 4:06,Technical,Integration issue,Medium,Phone,Tier 2,F. Moore,Business,Resolved,4.4,FALSE,FALSE
TK00002,2025/1/3,11.3,2025/1/3 14:24,Shipping,Late delivery,Low,Portal,Tier 1,G. Lopez,Pro,Resolved,4.3,FALSE,FALSE
TK00003,2025/1/4,17.4,2025/1/4 14:42,Account,Access request,Low,Email,Tier 1,F. Moore,Enterprise,Resolved,4.4,FALSE,FALSE
TK00004,2025/1/5,13,,Product,How-to,Medium,Chat,Customer Success,C. Lee,Business,Pending Customer,,FALSE,TRUE
TK00005,2025/1/7,3,2025/1/7 13:48,Technical,Bug report,High,Chat,Tier 1,D. Evans,Free,Resolved,4.1,FALSE,FALSE
TK00006,2025/1/8,5.4,2025/1/8 13:54,Technical,Login problem,Medium,Portal,Tier 2,I. Ahmed,Free,Resolved,,FALSE,FALSE
TK00007,2025/1/8,29,2025/1/8 21:00,Product,Missing functionality,Low,Chat,Customer Success,B. Wilson,Enterprise,Resolved,4.9,FALSE,TRUE
TK00008,2025/1/9,8.9,,Technical,API error,Medium,Chat,Tier 2,H. Clark,Free,Escalated,,FALSE,TRUE
TK00009,2025/1/9,9.4,2025/1/10 14:42,Technical,API error,Low,Chat,Tier 2,F. Moore,Free,Resolved,4.4,TRUE,FALSE
TK00010,2025/1/10,16.4,2025/1/10 21:00,Technical,Login problem,Low,Portal,Tier 1,C. Lee,Pro,Resolved,5,TRUE,FALSE
TK00011,2025/1/12,4.8,,Technical,Integration issue,Medium,Portal,Tier 1,C. Lee,Business,Open,,FALSE,FALSE
TK00012,2025/1/13,1.4,,Shipping,Address correction,Urgent,Portal,Tier 1,C. Lee,Business,Pending Customer,,FALSE,FALSE
TK00013,2025/1/13,1.8,2025/1/14 1:42,Billing,Invoice issue,Urgent,Email,Billing,C. Lee,Enterprise,Resolved,4.5,FALSE,FALSE
