dataset_file,dataset_id,question_id,question,model_id,prompt_mode,status,final_answer,python_code,execution_result,execution_stdout,execution_error,trace_count,elapsed_sec,error,started_at
marketing_campaigns_questions.csv,marketing_campaigns,Q1,What is the overall ROAS for all our campaigns?,openai/gpt-3.5-turbo,baseline,ok,The overall Return on Advertising Spend (ROAS) for all campaigns is approximately 2.75.,result = df['revenue_attributed'].sum() / df['spend'].sum(),2.753752124834116,,,2,3.841,,1777629914.5675693
marketing_campaigns_questions.csv,marketing_campaigns,Q1,What is the overall ROAS for all our campaigns?,openai/gpt-3.5-turbo,structured,ok,The overall Return on Advertising Spend (ROAS) for all campaigns is approximately 2.75.,result = df['revenue_attributed'].sum() / df['spend'].sum(),2.753752124834116,,,2,3.519,,1777629919.4123838
marketing_campaigns_questions.csv,marketing_campaigns,Q1,What is the overall ROAS for all our campaigns?,openai/gpt-3.5-turbo,CoT,ok,The overall Return on Advertising Spend (ROAS) for all our campaigns is approximately 2.75.,result = df['revenue_attributed'].sum() / df['spend'].sum(),2.753752124834116,,,2,4.066,,1777629923.94028
marketing_campaigns_questions.csv,marketing_campaigns,Q2,What is the conversion rate for Campaign CM0126?,openai/gpt-3.5-turbo,baseline,ok,The conversion rate for Campaign CM0126 is approximately 1.162728.,result = df[df['campaign_id'] == 'CM0126']['conversions'] / df[df['campaign_id'] == 'CM0126']['clicks'].values[0],"0    1.162728
Name: conversions, dtype: float64",,,2,4.541,,1777629929.0101788
marketing_campaigns_questions.csv,marketing_campaigns,Q2,What is the conversion rate for Campaign CM0126?,openai/gpt-3.5-turbo,structured,ok,The conversion rate for Campaign CM0126 is approximately 1.162728.,result = df[df['campaign_id'] == 'CM0126']['conversions'] / df[df['campaign_id'] == 'CM0126']['clicks'],"0    1.162728
dtype: float64",,,2,4.409,,1777629934.5631318
marketing_campaigns_questions.csv,marketing_campaigns,Q2,What is the conversion rate for Campaign CM0126?,openai/gpt-3.5-turbo,CoT,ok,The conversion rate for Campaign CM0126 is approximately 1.162728.,result = df[df['campaign_id'] == 'CM0126']['conversions'] / df[df['campaign_id'] == 'CM0126']['clicks'].values[0],"0    1.162728
Name: conversions, dtype: float64",,,2,4.213,,1777629939.9777396
marketing_campaigns_questions.csv,marketing_campaigns,Q3,Are there any campaigns where the clicks are actually higher than the impressions?,openai/gpt-3.5-turbo,baseline,ok,There are no campaigns where the clicks are higher than the impressions.,result = df[df['clicks'] > df['impressions']],"Empty DataFrame
Columns: [campaign_id, campaign_name, start_date, end_date, channel, audience, region, manager, status, impressions, clicks, conversions, spend, revenue_attributed]
Index: []",,,2,3.776,,1777629945.1991403
marketing_campaigns_questions.csv,marketing_campaigns,Q3,Are there any campaigns where the clicks are actually higher than the impressions?,openai/gpt-3.5-turbo,structured,ok,There are no campaigns where the clicks are higher than the impressions.,result = df[df['clicks'] > df['impressions']],"Empty DataFrame
Columns: [campaign_id, campaign_name, start_date, end_date, channel, audience, region, manager, status, impressions, clicks, conversions, spend, revenue_attributed]
Index: []",,,2,4.234,,1777629949.9839349
marketing_campaigns_questions.csv,marketing_campaigns,Q3,Are there any campaigns where the clicks are actually higher than the impressions?,openai/gpt-3.5-turbo,CoT,ok,There are no campaigns where the clicks are higher than the impressions.,result = df[df['clicks'] > df['impressions']],"Empty DataFrame
Columns: [campaign_id, campaign_name, start_date, end_date, channel, audience, region, manager, status, impressions, clicks, conversions, spend, revenue_attributed]
Index: []",,,2,3.88,,1777629955.2207046
marketing_campaigns_questions.csv,marketing_campaigns,Q4,What is the average conversion rate (CVR) for each marketing channel?,openai/gpt-3.5-turbo,baseline,ok,"The average conversion rates (CVR) for each marketing channel are as follows: Affiliate - 6.72%, Display - 10.91%, Email - 7.16%, Organic Social - 6.86%, Paid Search - 7.71%, Paid Social - 8.17%.",result = df.groupby('channel')['conversions'].sum() / df.groupby('channel')['clicks'].sum(),"channel
Affiliate         0.067201
Display           0.109142
Email             0.071557
Organic Social    0.068579
Paid Search       0.077144
Paid Social       0.081701
dtype: float64",,,2,4.871,,1777629960.1059113
marketing_campaigns_questions.csv,marketing_campaigns,Q4,What is the average conversion rate (CVR) for each marketing channel?,openai/gpt-3.5-turbo,structured,ok,"The average conversion rates (CVR) for each marketing channel are as follows: Affiliate - 6.72%, Display - 10.91%, Email - 7.16%, Organic Social - 6.86%, Paid Search - 7.71%, Paid Social - 8.17%.",result = df.groupby('channel')['conversions'].sum() / df.groupby('channel')['clicks'].sum(),"channel
Affiliate         0.067201
Display           0.109142
Email             0.071557
Organic Social    0.068579
Paid Search       0.077144
Paid Social       0.081701
dtype: float64",,,2,4.585,,1777629965.984235
