expense_id,expense_date,department,cost_center,vendor,expense_category,payment_type,amount,budget_monthly,approved_by,reimbursable,receipt_attached,project_code,status
EX00073,2025/1/1,Engineering,CC-ENG-88,Notion,Cloud Services,Corporate Card,4900.8,20000,Head of Engineering,FALSE,TRUE,PRJ-203,Approved
EX00032,2025/1/1,Engineering,CC-ENG-85,NOTION,Software,Corporate Card,10462.58,20000,VP Sales,FALSE,FALSE,PRJ-203,Pending
EX00144,2025/1/2,Engineering,CC-ENG-12,Atlassian,Hardware,Corporate Card,611.18,20000,COO,FALSE,FALSE,PRJ-101,Approved
EX00174,2025/1/4,Marketing,CC-MAR-67,Uber,Travel,Reimbursement,39.83,17000,VP Marketing,FALSE,TRUE,PRJ-620,Approved
EX00218,01/06/2025,Sales,CC-SAL-80,AWS,Software,Corporate Card,2151.89,15000,VP Sales,FALSE,TRUE,PRJ-740,Approved
EX00075,2025/1/7,Sales,CC-SAL-68,Adobe,Recruiting,ACH,1980.81,15000,VP Marketing,FALSE,TRUE,PRJ-512,Approved
EX00006,2025/1/10,Engineering,CC-ENG-17,Concur,Contractors,Corporate Card,1258.03,20000,Head of Engineering,FALSE,TRUE,PRJ-512,Approved
EX00034,2025/1/12,Engineering,CC-ENG-37,Concur,Events,Corporate Card,4100.03,20000,Head of Engineering,FALSE,TRUE,PRJ-203,Approved
EX00025,2025/1/13,Engineering,CC-ENG-32,Slack,Software,Reimbursement,1203.23,20000,Finance Manager,TRUE,TRUE,PRJ-740,Approved
EX00028,2025/1/16,Engineering,CC-ENG-17,Salesforce,Contractors,Corporate Card,2298.43,20000,COO,FALSE,FALSE,PRJ-310,Approved
EX00146,2025/1/16,Finance,CC-FIN-68,Salesforce,Recruiting,ACH,519.73,7000,VP Marketing,FALSE,FALSE,PRJ-415,Approved
EX00086,2025/1/18,Marketing,CC-MAR-91,ATLASSIAN,Software,ACH,1454.63,17000,Finance Manager,FALSE,FALSE,PRJ-512,Pending
EX00050,2025/1/20,Support,CC-SUP-88,Zoom,Software,ACH,287.11,11000,VP Sales,FALSE,FALSE,PRJ-415,Pending
EX00039,2025/1/20,Engineering,CC-ENG-23,AWS,Hardware,Corporate Card,697.03,20000,CFO,FALSE,FALSE,PRJ-415,Pending
EX00126,2025/1/20,IT,CC-IT-27,Salesforce,Office Supplies,ACH,2781.62,9000,CFO,TRUE,FALSE,PRJ-620,Approved
EX00106,2025/1/20,Finance,CC-FIN-26,Adobe,Travel,Reimbursement,1762.14,7000,VP Sales,TRUE,TRUE,PRJ-512,Approved
EX00004,2025/1/21,Sales,CC-SAL-38,AWS,Software,Corporate Card,4112.91,15000,COO,TRUE,TRUE,PRJ-740,Pending
EX00101,2025/1/22,Marketing,CC-MAR-63,Slack Inc,Cloud Services,Wire Transfer,1643.68,17000,CFO,FALSE,FALSE,PRJ-101,Approved
EX00024,2025/1/23,Sales,CC-SAL-19,Uber,Travel,ACH,476.33,15000,VP Marketing,FALSE,FALSE,PRJ-101,Approved
EX00157,2025/1/24,Sales,CC-SAL-45,Workday,Travel,Corporate Card,2320.18,15000,COO,FALSE,FALSE,PRJ-740,Pending
EX00114,2025/1/26,Engineering,CC-ENG-95,Salesforce,Cloud Services,Corporate Card,-4646.63,20000,Finance Manager,FALSE,FALSE,PRJ-415,Pending
EX00220,2025/1/26,Engineering,CC-ENG-94,Google Cloud,Software,Corporate Card,4428.6,20000,CFO,FALSE,TRUE,PRJ-415,Pending
EX00071,2025/1/26,Finance,CC-FIN-26,slack,Software,ACH,1702.97,7000,Finance Manager,FALSE,TRUE,PRJ-101,Approved
EX00084,2025/1/29,Engineering,CC-ENG-28,atlassian,Travel,Corporate Card,1564.59,20000,VP Marketing,TRUE,TRUE,PRJ-101,Approved
EX00192,2025/1/30,Finance,CC-FIN-72,Slack,Software,Corporate Card,358.05,7000,Head of Engineering,FALSE,FALSE,PRJ-415,Rejected
EX00187,2025/1/31,IT,CC-IT-20,Adobe,Office Supplies,Corporate Card,5227.2,9000,CFO,FALSE,TRUE,PRJ-415,Approved
EX00217,2025/2/1,Engineering,CC-ENG-76,Uber,Hardware,Corporate Card,712.36,20000,Head of Engineering,FALSE,TRUE,PRJ-620,Pending
EX00122,2025/2/3,Operations,CC-OPE-21,zoom,Professional Services,Corporate Card,3054.46,10000,Finance Manager,FALSE,TRUE,PRJ-310,Approved
EX00105,2025/2/5,Engineering,CC-ENG-49,Uber,Training,Reimbursement,437.85,20000,VP Marketing,FALSE,TRUE,PRJ-101,Approved
EX00041,2025/2/5,Operations,CC-OPE-28,Workday,Contractors,ACH,3527.91,10000,COO,FALSE,TRUE,PRJ-740,Approved
EX00087,2025/2/10,People,CC-PEO-35,Google Cloud,Software,ACH,5973.29,6500,CFO,FALSE,TRUE,PRJ-415,Approved
EX00029,10-02-2025,Marketing,CC-MAR-74,Zoom.us,Contractors,ACH,3475.12,17000,VP Marketing,TRUE,FALSE,PRJ-740,Pending
EX00091,2025/2/10,Marketing,CC-MAR-50,Adobe,Software,Corporate Card,8201.87,17000,VP Sales,FALSE,TRUE,PRJ-740,Approved
EX00197,2025/2/10,Operations,CC-OPE-31,Adobe,Cloud Services,Wire Transfer,15805.94,10000,Finance Manager,FALSE,TRUE,PRJ-512,Pending
EX00153,02/14/2025,Support,CC-SUP-96,Google Cloud,Software,Corporate Card,2162.96,11000,VP Sales,FALSE,TRUE,PRJ-512,Approved
EX00127,2025/2/19,IT,CC-IT-55,Uber,Cloud Services,Corporate Card,-3331.11,9000,COO,TRUE,FALSE,PRJ-415,Approved
EX00170,2025/2/19,People,CC-PEO-84,AWS,Events,Reimbursement,3126.21,6500,COO,FALSE,TRUE,PRJ-310,Approved
EX00131,2025/2/22,Engineering,CC-ENG-49,Concur,Training,Reimbursement,252.78,20000,COO,FALSE,TRUE,PRJ-740,Pending
EX00111,2025/2/24,Sales,CC-SAL-36,Concur,Travel,Corporate Card,339.9,15000,COO,FALSE,TRUE,PRJ-620,Approved
EX00193,02/24/2025,Operations,CC-OPE-33,Salesforce,Recruiting,Corporate Card,1244.54,10000,COO,FALSE,FALSE,PRJ-101,Approved
EX00125,2025/2/24,Sales,CC-SAL-19,Slack Inc,Software,Corporate Card,7135.71,15000,COO,FALSE,TRUE,PRJ-203,Approved
EX00124,2025/2/25,Support,CC-SUP-17,Uber,Software,Corporate Card,8717.49,11000,CFO,FALSE,TRUE,PRJ-101,Approved
EX00119,2025/2/25,Engineering,CC-ENG-37,AWS,Software,Corporate Card,2855.23,20000,Head of Engineering,FALSE,TRUE,PRJ-620,Approved
EX00049,2025/2/28,Finance,CC-FIN-57,Concur,Contractors,Reimbursement,108.48,7000,VP Sales,FALSE,TRUE,PRJ-512,Rejected
