campaign_id,campaign_name,start_date,end_date,channel,audience,region,manager,status,impressions,clicks,conversions,spend,revenue_attributed
CM0126,Mid-Market Expansion C,2024-01-02,2024-02-28,Display,Trial Users,North America,K. Martin,Active,40612,1481,1722,6425.88,20947.2
CM0127,Pipeline Accelerator B,2024-01-10,2024-02-24,Paid Search,Existing Customers,Europe,E. Wilson,Completed,78106,3182,232,9561.26,25580.36
CM0036,Trial Nurture A,2024-01-13,2024-03-29,Email,Lookalike,LATAM,P. Scott,Active,62288,2129,42,7457.32,12731.36
CM0124,Brand Lift Wave B,2024-01-16,2024-02-18,Paid Social,Prospecting,APAC,P. Scott,Active,25451,409,31,6820.97,10441.17
CM0038,Regional Promo D,2024-01-18,2024-02-21,Paid Search,Prospecting,North America,T. Nguyen,Completed,23413,362,3,3366.14,13240.67
CM0148,Pipeline Accelerator A,2024-01-27,2024-03-13,Display,Trial Users,Europe,K. Martin,Completed,51469,1891,174,10205.51,30456.16
CM0147,Retargeting Sprint D,2024-02-13,2024-04-28,Display,Lookalike,North America,T. Nguyen,Paused,61051,1457,101,10868.44,15888.78
CM0140,Pipeline Accelerator C,2024-02-14,2024-05-10,Display,Lookalike,Europe,T. Nguyen,Paused,79093,2385,232,6112.42,10742.99
CM0058,New Feature Awareness A,2024-02-21,2024-04-05,Organic Social,Retargeting,Europe,P. Scott,Active,46582,528,55,3661.25,9678.83
CM0110,Trial Nurture B,2024-02-23,2024-04-24,Email,Retargeting,LATAM,P. Scott,Active,77593,2535,183,5395.73,10823.21
CM0035,Brand Lift Wave C,2024-02-25,2024-04-29,Paid Search,Prospecting,North America,K. Martin,Completed,33310,957,72,7934.37,19726.92
CM0137,Q1 Acquisition Push C,2024-02-27,2024-04-23,Paid Search,Prospecting,Europe,T. Nguyen,Paused,103784,5941,123,11173.07,30226.06
CM0023,Spring Launch B,2024-02-28,2024-05-05,Email,Prospecting,APAC,P. Scott,Paused,35504,909,70,1677.42,2577.11
CM0109,Trial Nurture C,2024-03-01,2024-04-10,Paid Social,Prospecting,LATAM,K. Martin,Active,58216,1458,199,9899.77,35337.7
CM0112,Brand Lift Wave C,2024-03-05,2024-03-26,Organic Social,Retargeting,LATAM,T. Nguyen,Paused,66393,1818,158,5288.76,8304.35
CM0069,Enterprise ABM D,2024-03-05,2024-04-23,Email,Prospecting,Europe,E. Wilson,Active,55026,1382,47,4103.94,9600.06
CM0056,Upsell Sequence A,2024-03-08,2024-04-29,Organic Social,Trial Users,North America,P. Scott,Completed,73377,2337,157,9400.67,29248.56
CM0048,Q1 Acquisition Push A,2024-03-11,2024-06-01,Paid Social,Lookalike,North America,T. Nguyen,Active,32334,462,34,1052.6,520.92
CM0045,Regional Promo D,2024-03-19,2024-04-21,Paid Search,Lookalike,Europe,P. Scott,Completed,49197,1233,79,7423.45,
CM0130,Brand Lift Wave A,2024-03-21,2024-05-12,Display,Prospecting,Europe,P. Scott,Completed,37940,1223,78,7888.88,28344.13
CM0021,Regional Promo D,2024-03-22,2024-05-31,Email,Existing Customers,North America,E. Wilson,Active,114422,2912,164,493.15,1252.06
CM0075,Holiday Demand Gen B,2024-03-23,2024-05-30,Email,Prospecting,APAC,T. Nguyen,Paused,74785,1275,125,9141.53,16432.57
CM0141,Brand Lift Wave D,2024-04-06,2024-04-29,Email,Prospecting,North America,P. Scott,Completed,28511,693,8,1250.74,5610.81
CM0149,Enterprise ABM B,2024-04-06,2024-05-11,Paid Search,Existing Customers,Europe,K. Martin,Active,246034,8480,504,4891.49,12368.91
CM0015,Regional Promo B,2024-04-06,2024-05-27,Email,Retargeting,North America,E. Wilson,Completed,75041,2894,259,6181.08,18130.59
CM0028,Mid-Market Expansion A,2024-04-14,2024-07-11,Display,Trial Users,North America,P. Scott,Completed,136452,3635,286,11192.06,17549.65
CM0027,New Feature Awareness B,2024-04-15,2024-06-28,Paid Search,Trial Users,North America,T. Nguyen,Completed,43358,1731,9,7037.47,27790.13
CM0119,Pipeline Accelerator C,2024-04-17,2024-07-11,Paid Search,Prospecting,North America,P. Scott,Completed,145250,5751,725,7308.89,23413.69
CM0096,New Feature Awareness C,2024-04-19,2024-05-19,Paid Search,Lookalike,North America,T. Nguyen,Completed,55548,1548,48,10121.41,16960.52
CM0088,New Feature Awareness D,2024-04-21,2024-06-04,Paid Social,Trial Users,LATAM,K. Martin,Completed,29489,223,16,6964.51,14247.79
CM0039,Holiday Demand Gen D,2024-04-22,2024-07-14,Display,Trial Users,North America,P. Scott,Active,92856,528,39,8621.68,38423.79
CM0102,Holiday Demand Gen B,2024-04-23,2024-05-19,Paid Social,Existing Customers,North America,E. Wilson,Active,38857,430,28,13838.22,47866.09
CM0090,Trial Nurture B,2024-05-01,2024-06-05,Email,Lookalike,APAC,T. Nguyen,Active,77681,2445,110,8880.57,26657.6
CM0020,Holiday Demand Gen B,2024-05-04,2024-06-19,Email,Lookalike,North America,E. Wilson,Completed,65706,1240,85,3782.76,7528.07
CM0129,Mid-Market Expansion C,2024-05-04,2024-06-07,Paid Search,Prospecting,APAC,K. Martin,Completed,50069,839,44,8819.42,22485.44
CM0081,Trial Nurture C,2024-05-05,2024-06-28,Organic Social,Existing Customers,APAC,E. Wilson,Completed,27833,768,18,5628.35,13234.41
CM0066,Mid-Market Expansion D,2024-05-07,2024-06-17,Affiliate,Existing Customers,North America,T. Nguyen,Completed,87099,1735,92,3385.02,11655.74
CM0134,Spring Launch C,2024-05-08,2024-06-26,Paid Social,Lookalike,Europe,T. Nguyen,Completed,85615,1378,76,2134.36,6095.9
CM0018,Regional Promo B,2024-05-11,2024-08-08,Paid Search,Prospecting,LATAM,T. Nguyen,Completed,32275,1355,98,9363.15,30123.5
CM0050,Brand Lift Wave A,2024-05-25,2024-08-15,Paid Search,Lookalike,Europe,T. Nguyen,Active,44905,1624,61,9367.99,26224.98
CM0132,Retargeting Sprint A,2024-05-29,2024-08-21,Organic Social,Existing Customers,North America,K. Martin,Completed,66469,1284,92,9677.35,39229.21
CM0010,Upsell Sequence D,2024-06-05,2024-07-31,Paid Social,Prospecting,Europe,P. Scott,Completed,42641,1311,58,4723.28,12209.06
CM0087,Enterprise ABM D,2024-06-06,2024-09-03,Paid Social,Trial Users,North America,K. Martin,Completed,44246,1563,136,6668.75,19165.04
CM0025,Retargeting Sprint D,2024-06-09,2024-09-04,Paid Social,Retargeting,APAC,T. Nguyen,Active,35015,1374,135,4726.82,21977.7
CM0120,Brand Lift Wave B,2024-06-10,2024-09-02,Email,Prospecting,Europe,P. Scott,Completed,63600,2480,332,3179.58,11327.83
CM0003,Spring Launch B,2024-06-13,2024-08-25,Display,Retargeting,APAC,T. Nguyen,Active,51381,1231,60,2605.03,9855.67
CM0041,Upsell Sequence A,2024-06-19,2024-08-01,Email,Lookalike,Europe,K. Martin,Active,42788,1457,37,2018.05,8143.01
CM0114,Trial Nurture B,2024-06-19,2024-07-19,Paid Social,Prospecting,Europe,E. Wilson,Active,57263,1575,161,3020.19,11294.42
CM0105,Retargeting Sprint D,2024-06-27,2024-09-05,Display,Lookalike,LATAM,E. Wilson,Completed,63995,2173,45,7096.01,4359.81
CM0046,Pipeline Accelerator B,2024-06-30,2024-07-30,Paid Search,Lookalike,North America,P. Scott,Completed,65647,2452,95,9387.71,38764.71
CM0043,Q1 Acquisition Push C,2024-07-07,2024-08-28,Paid Search,Retargeting,Europe,E. Wilson,Completed,49118,1684,161,6153.22,9179.08
CM0055,New Feature Awareness C,2024-07-11,2024-09-23,Display,Prospecting,APAC,P. Scott,Active,47885,986,88,5932.16,22080.71
CM0138,Retargeting Sprint B,2024-07-16,2024-08-25,Paid Social,Existing Customers,APAC,T. Nguyen,Active,128477,2404,232,3291.55,10672.43
CM0065,Spring Launch D,2024-07-16,2024-10-02,Email,Prospecting,Europe,K. Martin,Active,58318,1396,127,4092.71,7773.78
