dataset_id,question_id,question,model_id,prompt_mode,status,final_answer,ground_truth_answer,clarity,clarity_reason,relevance,relevance_reason,correctness,correctness_reason,avg_score
customer_service,Q1,What is the average time it takes for us to give the first response to a customer?,openai/gpt-3.5-turbo,baseline,ok,The average time it takes for us to give the first response to a customer is approximately 8.65 hours.,8.65 hours  (519 minutes),5,"The answer is clear and straightforward, stating the average time in hours.",5,The answer directly addresses the question by providing the average time for the first response to a customer.,5,"The answer matches the ground truth of 8.65 hours, showing accuracy in the response.",5.0
customer_service,Q1,What is the average time it takes for us to give the first response to a customer?,openai/gpt-3.5-turbo,structured,ok,The average time it takes for us to give the first response to a customer is approximately 8.65 hours.,8.65 hours  (519 minutes),5,"The answer is clear and straightforward, stating the average time in hours.",5,The answer directly addresses the question by providing the average time for the first response to a customer.,5,"The answer matches the ground truth of 8.65 hours, showing accuracy in the response.",5.0
customer_service,Q1,What is the average time it takes for us to give the first response to a customer?,openai/gpt-3.5-turbo,CoT,ok,The average time it takes for us to give the first response to a customer is approximately 8.65 hours.,8.65 hours  (519 minutes),5,"The answer is clear and straightforward, stating the average time in hours.",5,The answer directly addresses the question by providing the average time for the first response to a customer.,5,"The answer matches the ground truth of 8.65 hours, showing accuracy in the response.",5.0
customer_service,Q2,What percentage of our tickets have breached the SLA?,openai/gpt-3.5-turbo,baseline,ok,21.15% of our tickets have breached the SLA.,21.2% (55 out of 260),5,"The answer is clear and easy to understand, providing a specific percentage.",5,The answer directly addresses the question by providing the percentage of tickets that breached the SLA.,4,"The answer is very close to the ground truth, with only a minor difference in the percentage.",4.67
customer_service,Q2,What percentage of our tickets have breached the SLA?,openai/gpt-3.5-turbo,structured,ok,21.15% of our tickets have breached the SLA.,21.2% (55 out of 260),5,The answer is clear and easy to understand with the percentage provided.,5,The answer directly addresses the question by providing the percentage of tickets that breached the SLA.,4,"The answer is very close to the ground truth, with only a minor difference in the percentage.",4.67
customer_service,Q2,What percentage of our tickets have breached the SLA?,openai/gpt-3.5-turbo,CoT,ok,21.15% of our tickets have breached the SLA.,21.2% (55 out of 260),5,The answer is clear and easy to understand with the percentage provided.,5,The answer directly addresses the question asked about the percentage of breached SLA tickets.,4,"The answer is very close to the ground truth, with only a minor difference in the percentage.",4.67
customer_service,Q3,Which support category has the highest customer satisfaction (CSAT) score?,openai/gpt-3.5-turbo,baseline,ok,The Shipping category has the highest customer satisfaction (CSAT) score.,Shipping (CSAT Score: 4.37),5,The answer is straightforward and easy to understand.,5,The answer directly addresses the question asked.,5,The answer correctly identifies Shipping as the support category with the highest CSAT score.,5.0
customer_service,Q3,Which support category has the highest customer satisfaction (CSAT) score?,openai/gpt-3.5-turbo,structured,ok,The 'Shipping' category has the highest customer satisfaction (CSAT) score.,Shipping (CSAT Score: 4.37),5,The answer is clear and straightforward.,5,The answer directly addresses the question asked.,5,The answer correctly identifies 'Shipping' as the support category with the highest CSAT score.,5.0
customer_service,Q3,Which support category has the highest customer satisfaction (CSAT) score?,openai/gpt-3.5-turbo,CoT,ok,The Shipping category has the highest customer satisfaction (CSAT) score.,Shipping (CSAT Score: 4.37),5,The answer is straightforward and easy to understand.,5,The answer directly addresses the question asked.,5,The answer correctly identifies Shipping as the support category with the highest CSAT score.,5.0
customer_service,Q4,Who is our best Agent? (Highest volume handled with a CSAT score over 4.5).,openai/gpt-3.5-turbo,baseline,ok,Our best Agent is C. Lee.,"C. Lee (16 tickets above 4.5, Avg CSAT score: 4.80)",5,The answer is straightforward and easy to understand.,5,The answer directly addresses the question by identifying C. Lee as the best Agent.,5,The answer is accurate as C. Lee has the highest volume handled with a CSAT score over 4.5.,5.0
customer_service,Q4,Who is our best Agent? (Highest volume handled with a CSAT score over 4.5).,openai/gpt-3.5-turbo,structured,ok,Our best Agent is C. Lee.,"C. Lee (16 tickets above 4.5, Avg CSAT score: 4.80)",5,The answer is straightforward and easy to understand.,5,The answer directly addresses the question by identifying C. Lee as the best Agent.,5,The answer is accurate as C. Lee has the highest volume handled with a CSAT score over 4.5.,5.0
customer_service,Q4,Who is our best Agent? (Highest volume handled with a CSAT score over 4.5).,openai/gpt-3.5-turbo,CoT,ok,Our best Agent is C. Lee.,"C. Lee (16 tickets above 4.5, Avg CSAT score: 4.80)",5,The answer is straightforward and easy to understand.,5,The answer directly addresses the question by identifying C. Lee as the best Agent.,5,The answer is accurate as C. Lee has the highest volume handled with a CSAT score over 4.5.,5.0
customer_service,Q5,"How much longer does it take to resolve a ""High"" priority ticket compared to a ""Low"" one?",openai/gpt-3.5-turbo,baseline,ok,There is no measurable difference in the average time it takes to resolve a 'High' priority ticket compared to a 'Low' priority ticket., High takes 2.00 hours LONGER than Low priority tickets. (High: 25.38; Low: 23.38),5,The answer is straightforward and easy to understand.,1,The answer does not directly address the question asked.,1,The answer is completely wrong compared to the ground truth.,2.33
customer_service,Q5,"How much longer does it take to resolve a ""High"" priority ticket compared to a ""Low"" one?",openai/gpt-3.5-turbo,structured,ok,There is no difference in the average time taken to resolve 'High' priority tickets compared to 'Low' priority tickets., High takes 2.00 hours LONGER than Low priority tickets. (High: 25.38; Low: 23.38),5,The answer is straightforward and easy to understand.,1,The answer is completely off-topic as it contradicts the ground truth.,1,The answer is incorrect as it does not align with the ground truth data.,2.33
customer_service,Q5,"How much longer does it take to resolve a ""High"" priority ticket compared to a ""Low"" one?",openai/gpt-3.5-turbo,CoT,ok,"On average, it takes approximately 10.70 hours less to resolve a 'High' priority ticket compared to a 'Low' priority ticket.", High takes 2.00 hours LONGER than Low priority tickets. (High: 25.38; Low: 23.38),1,The answer is very confusing and does not clearly explain the time comparison between 'High' and 'Low' priority tickets.,1,The answer is completely off-topic and does not directly address the question asked.,1,The answer is completely wrong as it inaccurately states that it takes less time to resolve a 'High' priority ticket compared to a 'Low' one.,1.0
customer_service,Q6,"Show me all ""High"" priority tickets that are still ""Open"" after more than 24 hours.",openai/gpt-3.5-turbo,baseline,ok,There are no 'High' priority tickets that are still 'Open' after more than 24 hours.,TK00082; TK00087; TK00185; TK00187,5,The answer is straightforward and easy to understand.,5,The answer directly addresses the question asked.,5,The answer is accurate and matches the ground truth.,5.0
customer_service,Q6,"Show me all ""High"" priority tickets that are still ""Open"" after more than 24 hours.",openai/gpt-3.5-turbo,structured,ok,There are no 'High' priority tickets that are still 'Open' after more than 24 hours.,TK00082; TK00087; TK00185; TK00187,5,The answer is straightforward and easy to understand.,5,The answer directly addresses the question asked.,5,The answer is accurate and matches the ground truth.,5.0
customer_service,Q6,"Show me all ""High"" priority tickets that are still ""Open"" after more than 24 hours.",openai/gpt-3.5-turbo,CoT,ok,There are no 'High' priority tickets that are still 'Open' after more than 24 hours.,TK00082; TK00087; TK00185; TK00187,5,The answer is straightforward and easy to understand.,5,The answer directly addresses the question asked.,5,The answer accurately states that there are no 'High' priority tickets still 'Open' after more than 24 hours.,5.0
customer_service,Q7,"Where do most of our tickets come from? (Email, Chat, Phone, etc.)",openai/gpt-3.5-turbo,baseline,ok,Most of our tickets come from the 'Chat' channel.,Chat (76 tickets),5,The answer is clear and straightforward.,5,The answer directly addresses the question asked.,5,The answer accurately states that most tickets come from the 'Chat' channel.,5.0
customer_service,Q7,"Where do most of our tickets come from? (Email, Chat, Phone, etc.)",openai/gpt-3.5-turbo,structured,ok,Most of our tickets come from the 'Chat' channel.,Chat (76 tickets),5,The answer is clear and straightforward.,5,The answer directly addresses the question asked.,5,The answer accurately states that most tickets come from the 'Chat' channel.,5.0
customer_service,Q7,"Where do most of our tickets come from? (Email, Chat, Phone, etc.)",openai/gpt-3.5-turbo,CoT,ok,Most of our tickets come from the 'Chat' channel.,Chat (76 tickets),5,The answer is clear and straightforward.,5,The answer directly addresses the question asked.,5,The answer accurately states that most tickets come from the 'Chat' channel.,5.0
customer_service,Q8,What is our overall resolution rate (Resolved vs. Total tickets)?,openai/gpt-3.5-turbo,baseline,ok,The overall resolution rate is 68.08%.,68.1% (177/260),5,The answer is clear and easy to understand with the percentage provided.,5,The answer directly addresses the question by providing the overall resolution rate.,4,"The answer is very close to the ground truth, with only a minor difference in the percentage.",4.67
customer_service,Q8,What is our overall resolution rate (Resolved vs. Total tickets)?,openai/gpt-3.5-turbo,structured,ok,The overall resolution rate is 68.08%.,68.1% (177/260),5,The answer is clear and easy to understand with the percentage provided.,5,The answer directly addresses the question by providing the overall resolution rate.,4,"The answer is very close to the ground truth, with only a minor difference in the percentage.",4.67
customer_service,Q8,What is our overall resolution rate (Resolved vs. Total tickets)?,openai/gpt-3.5-turbo,CoT,ok,The overall resolution rate is 68.08%.,68.1% (177/260),5,The answer is clear and easy to understand with the percentage provided.,5,The answer directly addresses the question by providing the overall resolution rate.,4,"The answer is very close to the ground truth, with only a minor difference in the percentage.",4.67
customer_service,Q9,"What is the most common reason for a ticket to be ""Reopened""?",openai/gpt-3.5-turbo,baseline,ok,The most common reason for a ticket to be 'Reopened' is 'API error'.,API error / Login problem / feature question (tie); category level: technical,4,"The answer is clear and easy to understand, stating the most common reason for a ticket to be 'Reopened' is 'API error'.",5,The answer directly addresses the question by identifying 'API error' as the most common reason for a ticket to be 'Reopened'.,4,"The answer is mostly correct as it correctly identifies 'API error' as a common reason for tickets to be 'Reopened', but it does not mention the other tied reasons of 'Login problem' and 'feature question'.",4.33
customer_service,Q9,"What is the most common reason for a ticket to be ""Reopened""?",openai/gpt-3.5-turbo,structured,ok,The most common reason for a ticket to be 'Reopened' is 'API error'.,API error / Login problem / feature question (tie); category level: technical,4,The answer is clear and easy to understand.,5,The answer directly addresses the question asked.,4,"The answer is mostly accurate, but misses the fact that 'Login problem' and 'feature question' are also common reasons for tickets to be 'Reopened'.",4.33
